weight,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,state,YYYYMM
2019.2061,57,2,2,1,735,-1,2,2,26620,1,2023-06-01
1109.1567,57,2,1,1,-1,-1,2,2,30780,5,2023-06-01
5007.8708,57,1,2,1,-1,-1,2,2,19100,48,2023-06-01
4992.0071,301,1,1,1,10,-1,2,2,19100,48,2023-06-01
6549.2614,57,2,2,1,-1,-1,2,2,19100,48,2023-06-01
7255.6541,57,2,2,1,2310,-1,2,2,19100,48,2023-06-01
2191.5841,57,2,1,1,5240,-1,2,2,30780,5,2023-06-01
975.2965,57,2,2,1,-1,-1,2,2,14260,16,2023-06-01
1433.413,57,1,2,1,-1,-1,2,2,30780,5,2023-06-01
1406.3489,57,1,1,1,6230,-1,2,2,30780,5,2023-06-01
2326.9524,57,2,1,1,7020,-1,2,2,12220,1,2023-06-01
2151.7033,57,2,1,1,440,-1,2,1,33860,1,2023-06-01
2302.0663,57,1,2,1,440,-1,2,2,19300,1,2023-06-01
2079.3648,57,1,1,1,2040,-1,2,2,19300,1,2023-06-01
2847.3859,57,2,1,1,-1,-1,2,2,19300,1,2023-06-01
2457.9181,57,2,1,1,-1,-1,2,2,19300,1,2023-06-01
2145.6358,57,2,2,1,-1,-1,2,2,19300,1,2023-06-01
1645.3713,57,1,2,1,-1,-1,2,2,33860,1,2023-06-01
1785.9391,57,1,1,1,-1,-1,2,2,33860,1,2023-06-01
5130.3744,57,2,1,1,6230,-1,2,2,19740,8,2023-06-01
5246.5289,57,2,1,1,-1,-1,2,2,48700,42,2023-06-01
4061.8847,57,2,2,1,-1,-1,2,1,48700,42,2023-06-01
4519.5223,57,2,2,1,-1,-1,2,2,48700,42,2023-06-01
3585.0298,57,2,2,1,-1,-1,2,2,24340,26,2023-06-01
3828.7291,57,2,1,1,-1,-1,2,2,24340,26,2023-06-01
3267.9704,57,2,2,1,-1,-1,2,1,46700,6,2023-06-01
4230.3914,303,2,1,2,6355,-1,2,2,21340,48,2023-06-01
4837.3788,303,2,1,2,1410,-1,2,2,21340,48,2023-06-01
4203.6784,303,1,2,2,4030,-1,2,1,21340,48,2023-06-01
2624.7904,57,1,1,1,9130,-1,2,1,13820,1,2023-06-01
2133.1436,57,1,2,1,-1,-1,2,1,13820,1,2023-06-01
6229.2377,57,2,2,1,2640,-1,2,2,12060,13,2023-06-01
5286.6141,57,2,1,1,10,-1,2,2,12060,13,2023-06-01
4201.054,57,2,2,1,9640,-1,2,2,11700,37,2023-06-01
6295.7103,57,2,1,1,5000,-1,2,1,11700,37,2023-06-01
1781.0859,57,1,1,1,4920,-1,2,2,27140,28,2023-06-01
2251.9052,57,1,2,1,3255,-1,2,2,27140,28,2023-06-01
1854.2457,57,1,1,1,4760,-1,2,2,13820,1,2023-06-01
1664.3686,128,1,2,1,-1,-1,2,1,13820,1,2023-06-01
371.055,57,2,2,1,-1,-1,2,2,15540,50,2023-06-01
1602.6819,57,1,2,1,5740,-1,2,2,30780,5,2023-06-01
1748.8467,57,2,1,1,4255,-1,2,2,30780,5,2023-06-01
1657.5043,57,1,1,1,4210,-1,2,2,30780,5,2023-06-01
4159.1488,57,2,2,1,845,-1,2,2,16740,37,2023-06-01
708.2258,233,1,2,1,5510,-1,1,2,46520,15,2023-06-01
724.6843,233,1,1,1,7330,-1,1,2,46520,15,2023-06-01
1999.0481,57,2,2,1,-1,-1,2,2,48620,20,2023-06-01
1434.9698,57,2,2,1,-1,-1,2,2,28140,20,2023-06-01
1652.6721,57,2,2,1,-1,-1,2,1,28140,20,2023-06-01
1514.9185,57,2,1,1,-1,-1,2,2,28140,20,2023-06-01
1792.8336,57,2,1,1,-1,-1,2,2,28140,20,2023-06-01
2537.7113,303,1,1,2,7750,-1,2,2,36420,40,2023-06-01
2167.2431,303,1,2,2,-1,-1,2,1,36420,40,2023-06-01
3145.7169,303,2,2,1,-1,-1,2,2,36420,40,2023-06-01
2598.165,303,2,1,1,-1,-1,2,2,36420,40,2023-06-01
2098.6566,303,2,1,1,-1,-1,2,2,36420,40,2023-06-01
2376.2171,57,1,1,1,1410,-1,2,2,46140,40,2023-06-01
3144.0081,57,1,2,1,10,-1,2,2,46140,40,2023-06-01
1567.5628,57,2,1,1,-1,-1,2,2,46140,40,2023-06-01
2376.2171,57,2,1,1,4850,-1,2,2,46140,40,2023-06-01
4636.9432,57,2,1,1,2360,-1,2,2,42220,6,2023-06-01
4440.7171,57,2,2,1,7700,-1,2,1,41180,17,2023-06-01
4491.0022,57,2,1,1,7750,-1,2,1,41180,17,2023-06-01
1813.3682,57,1,1,1,-1,-1,2,2,33660,1,2023-06-01
1887.3441,57,1,2,1,-1,-1,2,1,33660,1,2023-06-01
1899.4798,57,2,2,1,-1,-1,2,2,26620,1,2023-06-01
1695.0972,57,2,2,1,-1,-1,2,1,26620,1,2023-06-01
1944.0661,57,1,2,1,3602,-1,2,2,22520,1,2023-06-01
2291.1074,57,1,1,1,7700,-1,2,1,22520,1,2023-06-01
3181.5804,57,2,2,1,9645,-1,2,1,33860,1,2023-06-01
2608.9364,57,2,2,1,-1,-1,2,1,13820,1,2023-06-01
1888.9389,57,1,2,1,5840,-1,2,1,13820,1,2023-06-01
2290.4813,57,1,1,1,6442,-1,2,1,13820,1,2023-06-01
3489.2958,57,2,2,1,-1,-1,2,2,13820,1,2023-06-01
1845.9877,57,1,1,1,-1,-1,2,2,13820,1,2023-06-01
1526.9163,57,1,2,1,-1,-1,2,2,13820,1,2023-06-01
2113.5512,57,2,1,1,6230,-1,2,2,26620,1,2023-06-01
2509.2232,57,2,1,1,-1,-1,2,1,13820,1,2023-06-01
2542.2295,57,2,1,1,-1,-1,2,2,13820,1,2023-06-01
2475.5647,57,1,2,1,4220,-1,2,1,13820,1,2023-06-01
2273.2839,57,1,1,1,7210,-1,2,1,13820,1,2023-06-01
1400.2358,57,2,1,1,-1,-1,2,2,13820,1,2023-06-01
1857.4686,57,2,2,1,-1,-1,2,2,13820,1,2023-06-01
1438.93,57,2,1,1,-1,-1,2,2,13820,1,2023-06-01
2567.8447,57,1,2,1,-1,-1,2,2,13820,1,2023-06-01
2456.313,57,1,1,1,-1,-1,2,2,13820,1,2023-06-01
5721.1611,373,2,2,1,3255,-1,2,2,33860,1,2023-06-01
2379.4686,57,1,2,1,4920,-1,2,2,26620,1,2023-06-01
2741.6382,57,1,1,1,3930,-1,2,2,26620,1,2023-06-01
2611.6282,57,2,1,1,-1,-1,2,2,26620,1,2023-06-01
3335.3446,57,2,2,1,5310,-1,2,2,12220,1,2023-06-01
