,state,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,YYYYMM,weight
0,1,57,1,1,1,-1,-1,2,1,11500,2013-06-01,10348.654999999999
1,1,57,1,1,1,-1,-1,2,1,13820,2013-06-01,43553.534
2,1,57,1,1,1,-1,-1,2,1,19460,2013-06-01,13484.3192
3,1,57,1,1,1,-1,-1,2,1,22460,2013-06-01,2295.5548
4,1,57,1,1,1,-1,-1,2,1,26620,2013-06-01,10074.6244
5,1,57,1,1,1,-1,-1,2,1,33660,2013-06-01,5822.3309
6,1,57,1,1,1,-1,-1,2,1,33860,2013-06-01,3056.9547
7,1,57,1,1,1,-1,-1,2,1,46220,2013-06-01,6477.758400000001
8,1,57,1,1,1,-1,-1,2,2,11500,2013-06-01,3173.3869
9,1,57,1,1,1,-1,-1,2,2,13820,2013-06-01,42628.1109
10,1,57,1,1,1,-1,-1,2,2,19460,2013-06-01,6483.959699999999
11,1,57,1,1,1,-1,-1,2,2,22460,2013-06-01,9771.318
12,1,57,1,1,1,-1,-1,2,2,26620,2013-06-01,6789.1741999999995
13,1,57,1,1,1,-1,-1,2,2,33660,2013-06-01,8698.6633
14,1,57,1,1,1,-1,-1,2,2,33860,2013-06-01,9925.5905
15,1,57,1,1,1,20,-1,2,1,13820,2013-06-01,4198.083
16,1,57,1,1,1,110,-1,2,2,33860,2013-06-01,3432.1488
17,1,57,1,1,1,150,-1,2,2,26620,2013-06-01,3298.2653
18,1,57,1,1,1,205,-1,2,2,11500,2013-06-01,3475.8623
19,1,57,1,1,1,220,-1,2,1,13820,2013-06-01,4354.3447
20,1,57,1,1,1,220,-1,2,1,33660,2013-06-01,3130.6022
21,1,57,1,1,1,230,-1,2,2,33860,2013-06-01,4175.1926
22,1,57,1,1,1,350,-1,2,2,13820,2013-06-01,4198.083
23,1,57,1,1,1,410,-1,2,2,13820,2013-06-01,3204.32
24,1,57,1,1,1,430,-1,2,1,13820,2013-06-01,2691.8568
25,1,57,1,1,1,430,-1,2,2,13820,2013-06-01,3630.7493
26,1,57,1,1,1,430,-1,2,2,33860,2013-06-01,3364.876
27,1,57,1,1,1,600,-1,2,2,13820,2013-06-01,3579.4177
28,1,57,1,1,1,700,-1,2,2,26620,2013-06-01,3196.7822
29,1,57,1,1,1,710,-1,2,2,33860,2013-06-01,3264.0875
30,1,57,1,1,1,950,-1,2,2,26620,2013-06-01,3298.2653
31,1,57,1,1,1,1020,-1,2,2,13820,2013-06-01,6949.5262999999995
