,state,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,YYYYMM,weight
0,1,57,1,1,1,-1,-1,2,1,11500,2014-06-01,6883.438899999999
1,1,57,1,1,1,-1,-1,2,1,13820,2014-06-01,43992.3401
2,1,57,1,1,1,-1,-1,2,1,19300,2014-06-01,6220.7251
3,1,57,1,1,1,-1,-1,2,1,19460,2014-06-01,3662.1317
4,1,57,1,1,1,-1,-1,2,1,22460,2014-06-01,1819.3997
5,1,57,1,1,1,-1,-1,2,1,26620,2014-06-01,3341.59
6,1,57,1,1,1,-1,-1,2,1,33660,2014-06-01,4748.1289
7,1,57,1,1,1,-1,-1,2,1,33860,2014-06-01,8831.0795
8,1,57,1,1,1,-1,-1,2,1,46220,2014-06-01,3741.1828
9,1,57,1,1,1,-1,-1,2,2,11500,2014-06-01,3827.9615
10,1,57,1,1,1,-1,-1,2,2,13820,2014-06-01,49759.9835
11,1,57,1,1,1,-1,-1,2,2,19300,2014-06-01,8007.103
12,1,57,1,1,1,-1,-1,2,2,19460,2014-06-01,6653.6344
13,1,57,1,1,1,-1,-1,2,2,22460,2014-06-01,2593.66
14,1,57,1,1,1,-1,-1,2,2,22520,2014-06-01,6699.2366
15,1,57,1,1,1,-1,-1,2,2,26620,2014-06-01,23916.8451
16,1,57,1,1,1,-1,-1,2,2,33660,2014-06-01,18206.4322
17,1,57,1,1,1,-1,-1,2,2,33860,2014-06-01,13603.3953
18,1,57,1,1,1,10,-1,2,1,13820,2014-06-01,5557.8259
19,1,57,1,1,1,10,-1,2,2,13820,2014-06-01,3859.9494
20,1,57,1,1,1,10,-1,2,2,26620,2014-06-01,1515.7054
21,1,57,1,1,1,20,-1,2,1,13820,2014-06-01,6502.6022
22,1,57,1,1,1,20,-1,2,2,13820,2014-06-01,7781.2309000000005
23,1,57,1,1,1,50,-1,2,1,13820,2014-06-01,3286.0991
24,1,57,1,1,1,50,-1,2,1,22460,2014-06-01,3132.6359
25,1,57,1,1,1,50,-1,2,2,33660,2014-06-01,1738.5309
26,1,57,1,1,1,160,-1,2,2,13820,2014-06-01,1896.6043
27,1,57,1,1,1,220,-1,2,2,11500,2014-06-01,3458.2547
28,1,57,1,1,1,220,-1,2,2,13820,2014-06-01,2036.8022
29,1,57,1,1,1,220,-1,2,2,46220,2014-06-01,7015.3268
30,1,57,1,1,1,230,-1,2,2,13820,2014-06-01,1422.4435
31,1,57,1,1,1,230,-1,2,2,33860,2014-06-01,5607.0512
32,1,57,1,1,1,310,-1,2,2,22460,2014-06-01,1934.1621
33,1,57,1,1,1,350,-1,2,2,13820,2014-06-01,2722.7118
34,1,57,1,1,1,410,-1,2,2,13820,2014-06-01,3189.7751
35,1,57,1,1,1,430,-1,1,2,33660,2014-06-01,3345.66
36,1,57,1,1,1,430,-1,2,1,11500,2014-06-01,2811.2774
37,1,57,1,1,1,430,-1,2,1,13820,2014-06-01,4212.2382
38,1,57,1,1,1,430,-1,2,1,33660,2014-06-01,3345.66
39,1,57,1,1,1,430,-1,2,1,33860,2014-06-01,3147.0202
40,1,57,1,1,1,430,-1,2,2,13820,2014-06-01,5533.8116
41,1,57,1,1,1,430,-1,2,2,26620,2014-06-01,1407.1676
42,1,57,1,1,1,430,-1,2,2,33660,2014-06-01,3320.8607
43,1,57,1,1,1,430,-1,2,2,33860,2014-06-01,2525.6195
44,1,57,1,1,1,530,-1,2,2,26620,2014-06-01,1876.2362
45,1,57,1,1,1,540,-1,2,2,33660,2014-06-01,1647.7672
46,1,57,1,1,1,630,-1,2,2,26620,2014-06-01,1876.2362
47,1,57,1,1,1,700,-1,2,2,26620,2014-06-01,2997.9924
48,1,57,1,1,1,710,-1,2,2,26620,2014-06-01,1691.1488
49,1,57,1,1,1,800,-1,2,2,13820,2014-06-01,4246.4389
50,1,57,1,1,1,800,-1,2,2,19460,2014-06-01,3272.9746
51,1,57,1,1,1,810,-1,2,1,13820,2014-06-01,3307.8639
52,1,57,1,1,1,950,-1,2,2,26620,2014-06-01,3247.4661
53,1,57,1,1,1,1010,-1,2,2,13820,2014-06-01,4548.1298
54,1,57,1,1,1,1020,-1,2,2,26620,2014-06-01,6866.1657
55,1,57,1,1,1,1050,-1,2,2,33860,2014-06-01,5878.402
56,1,57,1,1,1,1220,-1,2,2,26620,2014-06-01,1407.1676
57,1,57,1,1,1,1360,-1,2,2,26620,2014-06-01,2343.7076
58,1,57,1,1,1,1430,-1,2,2,13820,2014-06-01,1319.9897
59,1,57,1,1,1,1460,-1,2,1,13820,2014-06-01,1319.9897
60,1,57,1,1,1,1550,-1,2,2,13820,2014-06-01,3053.0038
61,1,57,1,1,1,2000,-1,2,2,13820,2014-06-01,3037.8666
62,1,57,1,1,1,2040,-1,2,2,22520,2014-06-01,2266.4769
63,1,57,1,1,1,2040,-1,2,2,26620,2014-06-01,1876.2362
64,1,57,1,1,1,2040,-1,2,2,33660,2014-06-01,1904.4898
65,1,57,1,1,1,2100,-1,2,2,26620,2014-06-01,3646.0329
66,1,57,1,1,1,2100,-1,2,2,46220,2014-06-01,3213.9561
67,1,57,1,1,1,2310,-1,2,2,13820,2014-06-01,3611.0846
