,state,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,YYYYMM,weight
0,1,57,1,1,1,-1,-1,1,2,26620,2015-06-01,2173.3875
1,1,57,1,1,1,-1,-1,2,1,12220,2015-06-01,1837.9348
2,1,57,1,1,1,-1,-1,2,1,13820,2015-06-01,26797.8365
3,1,57,1,1,1,-1,-1,2,1,19300,2015-06-01,7686.0332
4,1,57,1,1,1,-1,-1,2,1,22460,2015-06-01,1651.8464
5,1,57,1,1,1,-1,-1,2,1,22520,2015-06-01,1937.0271
6,1,57,1,1,1,-1,-1,2,1,26620,2015-06-01,5622.3829
7,1,57,1,1,1,-1,-1,2,1,33660,2015-06-01,11886.7689
8,1,57,1,1,1,-1,-1,2,1,33860,2015-06-01,6523.1187
9,1,57,1,1,1,-1,-1,2,2,12220,2015-06-01,1579.6457
10,1,57,1,1,1,-1,-1,2,2,13820,2015-06-01,30046.500500000002
11,1,57,1,1,1,-1,-1,2,2,19300,2015-06-01,18504.1771
12,1,57,1,1,1,-1,-1,2,2,22460,2015-06-01,3538.5369
13,1,57,1,1,1,-1,-1,2,2,22520,2015-06-01,9411.8567
14,1,57,1,1,1,-1,-1,2,2,26620,2015-06-01,18922.934
15,1,57,1,1,1,-1,-1,2,2,33660,2015-06-01,16407.8892
16,1,57,1,1,1,-1,-1,2,2,33860,2015-06-01,13604.8357
17,1,57,1,1,1,10,-1,2,1,13820,2015-06-01,3344.9256
18,1,57,1,1,1,10,-1,2,2,13820,2015-06-01,4093.7528
19,1,57,1,1,1,10,-1,2,2,26620,2015-06-01,5524.0729
20,1,57,1,1,1,10,-1,2,2,33660,2015-06-01,1882.6605
21,1,57,1,1,1,20,-1,2,2,13820,2015-06-01,5289.5652
22,1,57,1,1,1,20,-1,2,2,22460,2015-06-01,1755.7796
23,1,57,1,1,1,50,-1,2,2,33660,2015-06-01,1566.5892
24,1,57,1,1,1,136,-1,2,2,12220,2015-06-01,1942.5804
25,1,57,1,1,1,160,-1,2,2,13820,2015-06-01,1886.1964
26,1,57,1,1,1,205,-1,2,2,13820,2015-06-01,1896.7297
27,1,57,1,1,1,220,-1,2,2,26620,2015-06-01,2105.4608
28,1,57,1,1,1,230,-1,2,1,26620,2015-06-01,2017.7039
29,1,57,1,1,1,230,-1,2,2,13820,2015-06-01,1929.5119
30,1,57,1,1,1,410,-1,2,2,12220,2015-06-01,2031.3697
31,1,57,1,1,1,430,-1,1,2,33860,2015-06-01,1648.744
32,1,57,1,1,1,430,-1,2,1,12220,2015-06-01,2030.8132
33,1,57,1,1,1,430,-1,2,1,13820,2015-06-01,3344.9256
34,1,57,1,1,1,430,-1,2,1,26620,2015-06-01,1995.9025
35,1,57,1,1,1,430,-1,2,1,33660,2015-06-01,1817.7321
36,1,57,1,1,1,430,-1,2,2,13820,2015-06-01,9385.3038
37,1,57,1,1,1,430,-1,2,2,26620,2015-06-01,5190.7336000000005
38,1,57,1,1,1,430,-1,2,2,33660,2015-06-01,3706.825
39,1,57,1,1,1,430,-1,2,2,33860,2015-06-01,4196.7325
40,1,57,1,1,1,530,-1,2,2,19300,2015-06-01,1701.8674
41,1,57,1,1,1,530,-1,2,2,26620,2015-06-01,1886.1964
42,1,57,1,1,1,540,-1,2,2,13820,2015-06-01,1953.5699
43,1,57,1,1,1,540,-1,2,2,33660,2015-06-01,3773.5274999999997
44,1,57,1,1,1,630,-1,2,2,26620,2015-06-01,1886.1964
45,1,57,1,1,1,700,-1,2,2,26620,2015-06-01,3598.2841
46,1,57,1,1,1,810,-1,2,1,13820,2015-06-01,2680.6957
47,1,57,1,1,1,910,-1,2,2,26620,2015-06-01,1878.6921
48,1,57,1,1,1,1020,-1,2,2,26620,2015-06-01,2151.1322
49,1,57,1,1,1,1020,-1,2,2,33660,2015-06-01,1478.6441
50,1,57,1,1,1,1050,-1,2,2,13820,2015-06-01,2201.6949
51,1,57,1,1,1,1106,-1,2,2,13820,2015-06-01,1686.334
52,1,57,1,1,1,1220,-1,2,2,33860,2015-06-01,1929.5119
53,1,57,1,1,1,1530,-1,2,2,26620,2015-06-01,6008.1336
54,1,57,1,1,1,1530,-1,2,2,33860,2015-06-01,1530.6154
55,1,57,1,1,1,1550,-1,2,2,13820,2015-06-01,3066.1422
56,1,57,1,1,1,1640,-1,2,2,12220,2015-06-01,1990.367
57,1,57,1,1,1,1965,-1,2,2,22520,2015-06-01,1766.9226
58,1,57,1,1,1,2000,-1,2,2,13820,2015-06-01,1762.7962
59,1,57,1,1,1,2040,-1,2,2,19300,2015-06-01,1911.4117
60,1,57,1,1,1,2040,-1,2,2,26620,2015-06-01,1886.1964
61,1,57,1,1,1,2040,-1,2,2,33660,2015-06-01,1972.4086
62,1,57,1,1,1,2100,-1,2,2,13820,2015-06-01,3772.3928
63,1,57,1,1,1,2200,1300,2,2,12220,2015-06-01,1847.6831
64,1,57,1,1,1,2310,-1,2,2,13820,2015-06-01,2083.265
65,1,57,1,1,1,2320,-1,2,2,26620,2015-06-01,1886.1964
66,1,57,1,1,1,2630,-1,2,1,26620,2015-06-01,2120.5819
67,1,57,1,1,1,2810,-1,2,2,13820,2015-06-01,1777.0956
68,1,57,1,1,1,2900,-1,2,1,13820,2015-06-01,1982.3151
69,1,57,1,1,1,3000,-1,2,2,22520,2015-06-01,1416.05
70,1,57,1,1,1,3255,-1,2,2,12220,2015-06-01,1885.3713
71,1,57,1,1,1,3255,-1,2,2,26620,2015-06-01,1753.2551
72,1,57,1,1,1,3320,-1,2,2,12220,2015-06-01,1757.8026
73,1,57,1,1,1,3700,-1,2,2,33860,2015-06-01,1916.9814
74,1,57,1,1,1,3710,-1,2,2,13820,2015-06-01,1753.2551
75,1,57,1,1,1,3740,-1,2,2,13820,2015-06-01,3066.1422
76,1,57,1,1,1,3850,-1,2,1,22520,2015-06-01,1816.4372
77,1,57,1,1,1,3850,-1,2,1,33860,2015-06-01,3844.4916
78,1,57,1,1,1,3850,-1,2,2,33860,2015-06-01,2222.5723
79,1,57,1,1,1,3930,-1,2,2,19300,2015-06-01,1664.2851
80,1,57,1,1,1,3930,-1,2,2,33660,2015-06-01,1996.8708
81,1,57,1,1,1,3945,-1,2,2,13820,2015-06-01,1833.192
82,1,57,1,1,1,4000,-1,2,2,13820,2015-06-01,1896.8407
83,1,57,1,1,1,4000,-1,2,2,19300,2015-06-01,2440.6785
84,1,57,1,1,1,4020,-1,2,1,12220,2015-06-01,2552.2343
85,1,57,1,1,1,4020,-1,2,2,13820,2015-06-01,3425.8396000000002
86,1,57,1,1,1,4020,-1,2,2,26620,2015-06-01,2011.7476
87,1,57,1,1,1,4020,-1,2,2,33860,2015-06-01,2086.8288
88,1,57,1,1,1,4200,-1,2,2,13820,2015-06-01,1656.3679
89,1,57,1,1,1,4210,-1,2,2,12220,2015-06-01,1847.6831
90,1,57,1,1,1,4210,-1,2,2,33660,2015-06-01,2277.334
91,1,57,1,1,1,4220,-1,2,1,13820,2015-06-01,2125.4258
92,1,57,1,1,1,4220,-1,2,1,33860,2015-06-01,1569.8033
93,1,57,1,1,1,4220,-1,2,2,12220,2015-06-01,2242.4448
94,1,57,1,1,1,4220,-1,2,2,13820,2015-06-01,3680.3817
95,1,57,1,1,1,4220,-1,2,2,19300,2015-06-01,2060.0702
96,1,57,1,1,1,4240,-1,2,1,22520,2015-06-01,1937.0271
97,1,57,1,1,1,4240,-1,2,2,12220,2015-06-01,2101.9349
98,1,57,1,1,1,4250,-1,2,2,13820,2015-06-01,1762.7962
99,1,57,1,1,1,4500,-1,2,1,33860,2015-06-01,1788.4345
100,1,57,1,1,1,4500,-1,2,2,19300,2015-06-01,1730.5654
101,1,57,1,1,1,4620,-1,2,2,33860,2015-06-01,2086.8288
102,1,57,1,1,1,4700,-1,2,1,33660,2015-06-01,2162.6182
103,1,57,1,1,1,4700,-1,2,2,13820,2015-06-01,3688.1233
104,1,57,1,1,1,4700,-1,2,2,33860,2015-06-01,2200.3234
105,1,57,1,1,1,4710,-1,2,1,33660,2015-06-01,1889.122
106,1,57,1,1,1,4710,-1,2,2,12220,2015-06-01,1847.6831
107,1,57,1,1,1,4710,-1,2,2,13820,2015-06-01,3799.7458
108,1,57,1,1,1,4710,-1,2,2,26620,2015-06-01,1813.9316
109,1,57,1,1,1,4710,-1,2,2,33660,2015-06-01,1724.103
110,1,57,1,1,1,4760,-1,1,2,13820,2015-06-01,2173.3875
111,1,57,1,1,1,4760,-1,2,1,12220,2015-06-01,1679.0361
112,1,57,1,1,1,4760,-1,2,1,26620,2015-06-01,1656.3679
113,1,57,1,1,1,4760,-1,2,2,13820,2015-06-01,1968.7111
114,1,57,1,1,1,4850,-1,2,2,13820,2015-06-01,1691.2525
115,1,57,1,1,1,4850,-1,2,2,19300,2015-06-01,1914.7224
116,1,57,1,1,1,4920,-1,2,2,22520,2015-06-01,2107.179
117,1,57,1,1,1,4920,-1,2,2,33860,2015-06-01,3561.6352
118,1,57,1,1,1,5240,-1,2,2,13820,2015-06-01,3574.6166000000003
119,1,57,1,1,1,5550,-1,2,2,13820,2015-06-01,1648.744
120,1,57,1,1,1,5550,-1,2,2,22520,2015-06-01,1980.5455
121,1,57,1,1,1,5600,-1,2,1,12220,2015-06-01,2060.0702
122,1,57,1,1,1,5620,-1,2,1,26620,2015-06-01,1919.1777
123,1,57,1,1,1,5860,-1,2,1,26620,2015-06-01,1485.4965
124,1,57,1,1,1,6200,-1,2,2,13820,2015-06-01,1896.7297
125,1,57,1,1,1,6200,-1,2,2,19300,2015-06-01,1806.3497
126,1,57,1,1,1,6200,-1,2,2,33660,2015-06-01,2333.2517
127,1,57,1,1,1,6200,-1,2,2,33860,2015-06-01,1985.0445
128,1,57,1,1,1,6230,-1,2,2,12220,2015-06-01,2483.173
129,1,57,1,1,1,6230,-1,2,2,19300,2015-06-01,2015.0762
130,1,57,1,1,1,6260,-1,2,2,13820,2015-06-01,1612.9747
131,1,57,1,1,1,6260,-1,2,2,26620,2015-06-01,1612.9747
132,1,57,1,1,1,6355,-1,2,2,19300,2015-06-01,1828.7525
133,1,57,1,1,1,6355,-1,2,2,22520,2015-06-01,1651.118
134,1,57,1,1,1,6355,-1,2,2,33660,2015-06-01,1822.2691
135,1,57,1,1,1,6440,-1,2,2,13820,2015-06-01,3844.4916
136,1,57,1,1,1,7000,-1,2,1,13820,2015-06-01,1896.7297
137,1,57,1,1,1,7000,-1,2,2,19300,2015-06-01,1942.5804
138,1,57,1,1,1,7000,-1,2,2,33860,2015-06-01,3474.5465999999997
139,1,57,1,1,1,7010,-1,2,2,26620,2015-06-01,1858.3211
140,1,57,1,1,1,7040,-1,2,2,22460,2015-06-01,1898.3995
141,1,57,1,1,1,7130,-1,2,1,13820,2015-06-01,3603.2312
142,1,57,1,1,1,7130,-1,2,2,33660,2015-06-01,1686.334
143,1,57,1,1,1,7150,-1,2,2,13820,2015-06-01,1807.0622
144,1,57,1,1,1,7200,-1,2,1,13820,2015-06-01,1732.0753
145,1,57,1,1,1,7200,-1,2,2,13820,2015-06-01,1656.3679
146,1,57,1,1,1,7240,-1,2,1,19300,2015-06-01,1942.5804
147,1,57,1,1,1,7260,-1,2,1,13820,2015-06-01,2229.2141
148,1,57,1,1,1,7315,-1,2,1,33860,2015-06-01,1807.0622
149,1,57,1,1,1,7315,-1,2,2,12220,2015-06-01,1990.367
150,1,57,1,1,1,7315,-1,2,2,13820,2015-06-01,4382.7948
151,1,57,1,1,1,7315,9130,2,2,13820,2015-06-01,1845.0265
152,1,57,1,1,1,7330,-1,2,1,13820,2015-06-01,2333.2517
153,1,57,1,1,1,7340,-1,2,2,33860,2015-06-01,1821.0196
154,1,57,1,1,1,7410,-1,2,2,12220,2015-06-01,2344.94
155,1,57,1,1,1,7700,-1,2,1,33660,2015-06-01,1569.8033
156,1,57,1,1,1,7700,-1,2,2,13820,2015-06-01,3656.1792
157,1,57,1,1,1,7700,-1,2,2,22520,2015-06-01,2081.3834
158,1,57,1,1,1,7700,-1,2,2,26620,2015-06-01,2068.0922
159,1,57,1,1,1,7740,-1,2,1,19300,2015-06-01,2377.6891
160,1,57,1,1,1,7900,-1,2,2,13820,2015-06-01,1686.334
161,1,57,1,1,1,8000,-1,2,1,13820,2015-06-01,1969.0515
162,1,57,1,1,1,8030,-1,2,1,33860,2015-06-01,1612.9747
163,1,57,1,1,1,8100,-1,2,2,13820,2015-06-01,1612.9747
164,1,57,1,1,1,8140,-1,2,1,13820,2015-06-01,5704.4793
165,1,57,1,1,1,8140,-1,2,1,22460,2015-06-01,4171.428
166,1,57,1,1,1,8140,-1,2,2,33660,2015-06-01,3405.9594
167,1,57,1,1,1,8255,-1,2,2,13820,2015-06-01,1889.122
168,1,57,1,1,1,8600,-1,2,2,22520,2015-06-01,1973.1757
169,1,57,1,1,1,8810,-1,2,1,13820,2015-06-01,2333.2517
170,1,57,1,1,1,8965,-1,1,2,33860,2015-06-01,2022.6502
171,1,57,1,1,1,8965,-1,2,1,33860,2015-06-01,1852.4825
172,1,57,1,1,1,8965,-1,2,2,19300,2015-06-01,2015.0762
173,1,57,1,1,1,9030,-1,2,2,13820,2015-06-01,1570.8539
174,1,57,1,1,1,9130,-1,2,1,12220,2015-06-01,1885.3713
175,1,57,1,1,1,9130,-1,2,1,13820,2015-06-01,4975.7353
176,1,57,1,1,1,9130,-1,2,1,22520,2015-06-01,2180.9297
177,1,57,1,1,1,9130,-1,2,2,12220,2015-06-01,1745.1286
178,1,57,1,1,1,9130,-1,2,2,13820,2015-06-01,1420.5668
179,1,57,1,1,1,9130,-1,2,2,33660,2015-06-01,3987.3190999999997
180,1,57,1,1,1,9130,-1,2,2,33860,2015-06-01,5081.236
181,1,57,1,1,1,9310,-1,2,1,33660,2015-06-01,1929.5119
182,1,57,1,1,1,9510,-1,2,1,33660,2015-06-01,2277.334
183,1,57,1,1,1,9600,-1,2,1,22520,2015-06-01,1903.3699
184,1,57,1,1,1,9610,-1,2,2,33660,2015-06-01,2182.2112
185,1,57,1,1,1,9610,-1,2,2,33860,2015-06-01,2216.414
186,1,57,1,1,1,9620,-1,2,1,13820,2015-06-01,1896.7297
187,1,57,1,1,1,9620,-1,2,1,33860,2015-06-01,2291.4147
188,1,57,1,1,1,9620,-1,2,2,33660,2015-06-01,1901.2988
189,1,57,1,1,1,9640,-1,1,2,33860,2015-06-01,2122.2619
190,1,57,1,1,1,9750,-1,2,1,13820,2015-06-01,1807.0622
191,1,57,1,2,1,-1,-1,1,2,33660,2015-06-01,1666.3841
