,state,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,YYYYMM,weight
0,1,57,1,1,1,-1,-1,2,1,11500,2012-06-01,11975.6409
1,1,57,1,1,1,-1,-1,2,1,13820,2012-06-01,15274.8853
2,1,57,1,1,1,-1,-1,2,1,19460,2012-06-01,2688.8918
3,1,57,1,1,1,-1,-1,2,1,22460,2012-06-01,2562.4272
4,1,57,1,1,1,-1,-1,2,1,26620,2012-06-01,6462.8898
5,1,57,1,1,1,-1,-1,2,1,33660,2012-06-01,5455.984
6,1,57,1,1,1,-1,-1,2,1,33860,2012-06-01,8324.1602
7,1,57,1,1,1,-1,-1,2,1,46220,2012-06-01,2284.4958
8,1,57,1,1,1,-1,-1,2,2,11500,2012-06-01,20126.3403
9,1,57,1,1,1,-1,-1,2,2,13820,2012-06-01,33439.1944
10,1,57,1,1,1,-1,-1,2,2,19460,2012-06-01,8760.9496
11,1,57,1,1,1,-1,-1,2,2,22460,2012-06-01,17088.0235
12,1,57,1,1,1,-1,-1,2,2,26620,2012-06-01,15433.2231
13,1,57,1,1,1,-1,-1,2,2,33660,2012-06-01,6954.1681
14,1,57,1,1,1,-1,-1,2,2,33860,2012-06-01,12065.6541
15,1,57,1,1,1,-1,-1,2,2,46220,2012-06-01,10540.4651
16,1,57,1,1,1,10,-1,2,1,33660,2012-06-01,2615.7807
17,1,57,1,1,1,10,-1,2,2,26620,2012-06-01,4923.1535
18,1,57,1,1,1,20,-1,2,2,13820,2012-06-01,3570.8683
19,1,57,1,1,1,50,-1,2,2,13820,2012-06-01,3200.4815
20,1,57,1,1,1,140,-1,2,2,11500,2012-06-01,3671.058
21,1,57,1,1,1,160,-1,2,2,13820,2012-06-01,2812.7779
22,1,57,1,1,1,205,-1,2,1,13820,2012-06-01,2683.7492
23,1,57,1,1,1,220,-1,2,2,33660,2012-06-01,2571.6569
24,1,57,1,1,1,220,-1,2,2,33860,2012-06-01,2502.4561
25,1,57,1,1,1,230,-1,2,2,33660,2012-06-01,6017.1391
26,1,57,1,1,1,300,-1,2,2,26620,2012-06-01,2561.3021
27,1,57,1,1,1,410,-1,2,1,26620,2012-06-01,2788.1737
28,1,57,1,1,1,430,-1,2,2,11500,2012-06-01,8719.5807
29,1,57,1,1,1,600,-1,2,2,22460,2012-06-01,4097.5133
30,1,57,1,1,1,700,-1,2,2,26620,2012-06-01,3754.3721
31,1,57,1,1,1,820,-1,2,2,26620,2012-06-01,3399.5288
32,1,57,1,1,1,910,-1,2,2,33660,2012-06-01,3429.9791
33,1,57,1,1,1,1006,-1,2,2,13820,2012-06-01,2749.74
34,1,57,1,1,1,1006,-1,2,2,33860,2012-06-01,3660.1674
35,1,57,1,1,1,1020,-1,2,2,13820,2012-06-01,2475.3954
36,1,57,1,1,1,1105,-1,2,2,46220,2012-06-01,2734.0174
37,1,57,1,1,1,1107,-1,2,1,33860,2012-06-01,3700.4596
38,1,57,1,1,1,1107,-1,2,2,13820,2012-06-01,3586.0144
39,1,57,1,1,1,1350,-1,2,2,33660,2012-06-01,6336.2876
40,1,57,1,1,1,1410,-1,2,2,13820,2012-06-01,4536.7598
41,1,57,1,1,1,1460,-1,2,2,13820,2012-06-01,3821.9367
42,1,57,1,1,1,1550,-1,2,2,26620,2012-06-01,3526.6677
43,1,57,1,1,1,1965,-1,2,2,13820,2012-06-01,2954.9306
44,1,57,1,1,1,2040,-1,2,1,11500,2012-06-01,3575.6851
45,1,57,1,1,1,2040,-1,2,2,13820,2012-06-01,2710.69
46,1,57,1,1,1,2040,2000,2,2,33660,2012-06-01,2633.9721
47,1,57,1,1,1,2100,-1,2,2,13820,2012-06-01,3586.0144
48,1,57,1,1,1,2100,-1,2,2,26620,2012-06-01,7418.4109
49,1,57,1,1,1,2100,-1,2,2,33660,2012-06-01,2615.7807
50,1,57,1,1,1,2100,-1,2,2,33860,2012-06-01,2351.7973
51,1,57,1,1,1,2200,-1,2,2,19460,2012-06-01,2961.88
52,1,57,1,1,1,2200,4320,2,2,33860,2012-06-01,2516.053
53,1,57,1,1,1,2310,-1,2,2,13820,2012-06-01,3821.9367
54,1,57,1,1,1,2320,-1,2,1,19460,2012-06-01,2656.6393
55,1,57,1,1,1,2320,-1,2,2,19460,2012-06-01,4097.5133
56,1,57,1,1,1,2630,-1,2,2,22460,2012-06-01,3671.058
57,1,57,1,1,1,2720,-1,2,1,26620,2012-06-01,3447.3667
58,1,57,1,1,1,2760,-1,2,2,26620,2012-06-01,3548.0188
59,1,57,1,1,1,3010,-1,2,2,33660,2012-06-01,2912.4593
60,1,57,1,1,1,3060,-1,2,2,11500,2012-06-01,5159.9257
61,1,57,1,1,1,3400,-1,2,2,19460,2012-06-01,5047.5496
62,1,57,1,1,1,3740,9620,2,2,33860,2012-06-01,3483.4381
63,1,57,1,1,1,3930,-1,2,1,33860,2012-06-01,3472.3498
64,1,57,1,1,1,3930,-1,2,2,26620,2012-06-01,3879.0939
65,1,57,1,1,1,4000,-1,2,2,13820,2012-06-01,3780.8006
66,1,57,1,1,1,4210,-1,2,2,26620,2012-06-01,3576.075
67,1,57,1,1,1,4220,-1,2,1,26620,2012-06-01,3487.0781
68,1,57,1,1,1,4220,-1,2,1,33660,2012-06-01,3165.8047
69,1,57,1,1,1,4220,-1,2,2,26620,2012-06-01,2597.1011
70,1,57,1,1,1,4250,-1,2,1,11500,2012-06-01,4189.6088
71,1,57,1,1,1,4250,-1,2,1,26620,2012-06-01,2575.3435
72,1,57,1,1,1,4350,-1,2,1,13820,2012-06-01,3860.8922
73,1,57,1,1,1,4700,-1,2,1,13820,2012-06-01,5894.8223
74,1,57,1,1,1,4700,-1,2,2,13820,2012-06-01,11668.280200000001
75,1,57,1,1,1,4700,-1,2,2,22460,2012-06-01,2671.2033
76,1,57,1,1,1,4700,-1,2,2,26620,2012-06-01,5700.9925
77,1,57,1,1,1,4710,-1,2,2,19460,2012-06-01,2734.0174
78,1,57,1,1,1,4760,-1,2,1,13820,2012-06-01,3764.0147
79,1,57,1,1,1,4760,-1,2,1,33660,2012-06-01,3775.3898
80,1,57,1,1,1,4760,-1,2,2,13820,2012-06-01,13396.0909
81,1,57,1,1,1,4760,-1,2,2,33660,2012-06-01,2770.515
82,1,57,1,1,1,4810,-1,2,2,22460,2012-06-01,4023.4821
83,1,57,1,1,1,4840,-1,2,2,13820,2012-06-01,2587.4391
84,1,57,1,1,1,5120,-1,2,2,13820,2012-06-01,2812.7779
85,1,57,1,1,1,5240,-1,2,1,11500,2012-06-01,2481.5435
86,1,57,1,1,1,5530,-1,2,1,22460,2012-06-01,2635.0181
87,1,57,1,1,1,5600,-1,2,2,19460,2012-06-01,2439.3363
88,1,57,1,1,1,5850,-1,2,1,13820,2012-06-01,2891.3954
89,1,57,1,1,1,5940,-1,2,2,11500,2012-06-01,5302.5002
90,1,57,1,1,1,6050,-1,2,1,33860,2012-06-01,3950.4683
91,1,57,1,1,1,6200,-1,2,1,13820,2012-06-01,2770.515
92,1,57,1,1,1,6200,-1,2,2,13820,2012-06-01,4229.662
93,1,57,1,1,1,6230,-1,2,1,46220,2012-06-01,2627.1145
94,1,57,1,1,1,6240,-1,2,1,33860,2012-06-01,3797.4812
95,1,57,1,1,1,6260,-1,2,1,11500,2012-06-01,3894.118
96,1,57,1,1,1,6260,-1,2,1,26620,2012-06-01,3526.6677
97,1,57,1,1,1,6260,-1,2,1,46220,2012-06-01,3270.6021
