,state,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,YYYYMM,weight
0,1,57,1,1,1,-1,-1,2,1,13820,2020-06-01,13087.853
1,1,57,1,1,1,-1,-1,2,1,19300,2020-06-01,2143.7359
2,1,57,1,1,1,-1,-1,2,1,22520,2020-06-01,7191.2931
3,1,57,1,1,1,-1,-1,2,1,26620,2020-06-01,8989.8282
4,1,57,1,1,1,-1,-1,2,1,33660,2020-06-01,6293.8688
5,1,57,1,1,1,-1,-1,2,1,33860,2020-06-01,3411.258
6,1,57,1,1,1,-1,-1,2,2,12220,2020-06-01,7864.4688
7,1,57,1,1,1,-1,-1,2,2,13820,2020-06-01,38039.0047
8,1,57,1,1,1,-1,-1,2,2,19300,2020-06-01,8556.2106
9,1,57,1,1,1,-1,-1,2,2,22520,2020-06-01,15837.8846
10,1,57,1,1,1,-1,-1,2,2,26620,2020-06-01,23710.375200000002
11,1,57,1,1,1,-1,-1,2,2,33660,2020-06-01,13779.1621
12,1,57,1,1,1,-1,-1,2,2,33860,2020-06-01,7038.508
13,1,57,1,1,1,10,-1,2,2,13820,2020-06-01,1933.9679
14,1,57,1,1,1,10,-1,2,2,33660,2020-06-01,4619.6222
15,1,57,1,1,1,20,-1,2,1,19300,2020-06-01,2177.655
16,1,57,1,1,1,20,-1,2,2,13820,2020-06-01,4201.9232
17,1,57,1,1,1,60,-1,2,2,26620,2020-06-01,2418.6592
18,1,57,1,1,1,102,-1,2,2,22520,2020-06-01,2822.4361
19,1,57,1,1,1,110,-1,2,2,13820,2020-06-01,2055.2443
20,1,57,1,1,1,110,-1,2,2,33660,2020-06-01,1957.3339
21,1,57,1,1,1,110,-1,2,2,33860,2020-06-01,2071.009
22,1,57,1,1,1,120,-1,2,2,13820,2020-06-01,6290.475
23,1,57,1,1,1,220,-1,2,1,13820,2020-06-01,4202.4754
24,1,57,1,1,1,220,-1,2,2,26620,2020-06-01,2786.6743
25,1,57,1,1,1,230,-1,2,2,13820,2020-06-01,1685.8767
26,1,57,1,1,1,230,-1,2,2,33860,2020-06-01,4534.1153
27,1,57,1,1,1,310,-1,2,1,33860,2020-06-01,2249.5907
28,1,57,1,1,1,310,-1,2,2,22520,2020-06-01,1873.9772
29,1,57,1,1,1,310,-1,2,2,33660,2020-06-01,1880.754
30,1,57,1,1,1,350,-1,2,2,13820,2020-06-01,2167.8862
31,1,57,1,1,1,350,-1,2,2,19300,2020-06-01,3421.603
32,1,57,1,1,1,410,-1,2,2,13820,2020-06-01,2527.5522
33,1,57,1,1,1,440,-1,2,1,19300,2020-06-01,1656.6559
34,1,57,1,1,1,440,-1,2,1,33660,2020-06-01,4202.4106
35,1,57,1,1,1,440,-1,2,2,13820,2020-06-01,1738.712
36,1,57,1,1,1,440,-1,2,2,19300,2020-06-01,2764.4179
37,1,57,1,1,1,440,-1,2,2,26620,2020-06-01,10287.2422
38,1,57,1,1,1,500,-1,2,2,19300,2020-06-01,1578.2605
39,1,57,1,1,1,565,-1,2,1,26620,2020-06-01,2653.1008
40,1,57,1,1,1,600,-1,2,1,13820,2020-06-01,2153.0642
41,1,57,1,1,1,600,-1,2,2,12220,2020-06-01,1994.1081
42,1,57,1,1,1,600,-1,2,2,19300,2020-06-01,2351.1168
43,1,57,1,1,1,630,-1,2,2,22520,2020-06-01,1791.3206
44,1,57,1,1,1,700,-1,2,2,13820,2020-06-01,3374.4312
45,1,57,1,1,1,705,-1,2,2,13820,2020-06-01,2988.3526
