,state,nativity,marital,sex,citiz,occ1,occ2,collegcred,highsch,city,YYYYMM,weight
0,1,57,1,1,1,-1,-1,2,1,13820,2010-06-01,21234.0041
1,1,57,1,1,1,-1,-1,2,1,19460,2010-06-01,6152.884599999999
2,1,57,1,1,1,-1,-1,2,1,33660,2010-06-01,6301.1145
3,1,57,1,1,1,-1,-1,2,1,33860,2010-06-01,9017.3094
4,1,57,1,1,1,-1,-1,2,1,46220,2010-06-01,2770.9996
5,1,57,1,1,1,-1,-1,2,2,11500,2010-06-01,14839.8799
6,1,57,1,1,1,-1,-1,2,2,13820,2010-06-01,63562.6275
7,1,57,1,1,1,-1,-1,2,2,19460,2010-06-01,3262.5328
8,1,57,1,1,1,-1,-1,2,2,22460,2010-06-01,8319.1195
9,1,57,1,1,1,-1,-1,2,2,26620,2010-06-01,14998.2202
10,1,57,1,1,1,-1,-1,2,2,33660,2010-06-01,9115.9296
11,1,57,1,1,1,-1,-1,2,2,33860,2010-06-01,10854.6492
12,1,57,1,1,1,-1,-1,2,2,46220,2010-06-01,2878.0297
13,1,57,1,1,1,10,-1,2,2,13820,2010-06-01,2932.7422
14,1,57,1,1,1,10,-1,2,2,33660,2010-06-01,3612.3591
15,1,57,1,1,1,10,-1,2,2,33860,2010-06-01,2726.1222
16,1,57,1,1,1,20,-1,2,1,22460,2010-06-01,2632.4978
17,1,57,1,1,1,20,-1,2,1,33860,2010-06-01,2884.5609
18,1,57,1,1,1,20,-1,2,2,13820,2010-06-01,7372.0072
19,1,57,1,1,1,50,-1,2,2,13820,2010-06-01,2408.854
20,1,57,1,1,1,120,-1,2,2,26620,2010-06-01,2921.0081
21,1,57,1,1,1,140,-1,2,1,46220,2010-06-01,3635.8933
22,1,57,1,1,1,210,-1,2,1,13820,2010-06-01,5289.9474
23,1,57,1,1,1,220,-1,2,1,13820,2010-06-01,2611.4093
24,1,57,1,1,1,220,-1,2,2,13820,2010-06-01,2786.3548
25,1,57,1,1,1,300,-1,2,2,26620,2010-06-01,2818.4594
26,1,57,1,1,1,350,4710,2,2,46220,2010-06-01,3448.0626
